"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","inducer","concentration_uM"
"E15",10,"E",15,0.0852124183006536,0.0862745098039216,0.0941176470588235,12.2705882352941,144,0,"",NA
"E15",11,"E",15,0.0860838779956427,0.0862745098039216,0.0941176470588235,12.3960784313725,144,0,"",NA
"E15",12,"E",15,0.0860838779956427,0.0862745098039216,0.0941176470588235,12.3960784313725,144,0,"",NA
"E15",13,"E",15,0.0867102396514161,0.0862745098039216,0.0980392156862745,12.4862745098039,144,0,"",NA
"E15",14,"E",15,0.0874727668845316,0.0862745098039216,0.0941176470588235,12.5960784313725,144,0,"",NA
"E15",15,"E",15,0.0882897603485839,0.0862745098039216,0.0941176470588235,12.7137254901961,144,0,"",NA
"E15",16,"E",15,0.0891884531590414,0.0901960784313725,0.0980392156862745,12.843137254902,144,0,"",NA
"E15",17,"E",15,0.0905773420479303,0.0901960784313725,0.101960784313725,13.043137254902,144,0,"",NA
"E15",18,"E",15,0.0918300653594771,0.0901960784313725,0.101960784313725,13.2235294117647,144,0,"",NA
"E15",19,"E",15,0.0936002178649237,0.0941176470588235,0.101960784313725,13.478431372549,144,0,"",NA
"E15",20,"E",15,0.0945533769063181,0.0941176470588235,0.105882352941176,13.6156862745098,144,0,"",NA
"E15",21,"E",15,0.0968954248366013,0.0980392156862745,0.105882352941176,13.9529411764706,144,0,"",NA
"E15",22,"E",15,0.0990468409586057,0.0980392156862745,0.109803921568627,14.2627450980392,144,0,"",NA
"E15",23,"E",15,0.10136165577342,0.101960784313725,0.109803921568627,14.5960784313725,144,0,"",NA
"E15",24,"E",15,0.103404139433551,0.101960784313725,0.113725490196078,14.8901960784314,144,0,"",NA
"E15",25,"E",15,0.105174291938998,0.105882352941176,0.113725490196078,15.1450980392157,144,0,"",NA
"E15",26,"E",15,0.108333333333333,0.109803921568627,0.117647058823529,15.6,144,0,"",NA
"E15",27,"E",15,0.110729847494553,0.109803921568627,0.12156862745098,15.9450980392157,144,0,"",NA
"E15",28,"E",15,0.113779956427015,0.113725490196078,0.12156862745098,16.3843137254902,144,0,"",NA
"E15",29,"E",15,0.116067538126362,0.117647058823529,0.125490196078431,16.7137254901961,144,0,"",NA
"E15",30,"E",15,0.118790849673203,0.117647058823529,0.129411764705882,17.1058823529412,144,0,"",NA
"E15",31,"E",15,0.121813725490196,0.12156862745098,0.129411764705882,17.5411764705882,144,0,"",NA
"E15",32,"E",15,0.125299564270153,0.125490196078431,0.133333333333333,18.043137254902,144,0,"",NA
"E15",33,"E",15,0.128131808278867,0.129411764705882,0.141176470588235,18.4509803921569,144,0,"",NA
"E15",34,"E",15,0.132598039215686,0.133333333333333,0.145098039215686,19.0941176470588,144,0,"",NA
"E15",35,"E",15,0.136628540305011,0.137254901960784,0.149019607843137,19.6745098039216,144,0,"",NA
"E15",36,"E",15,0.141394335511983,0.141176470588235,0.149019607843137,20.3607843137255,144,0,"",NA
"E15",37,"E",15,0.147685185185185,0.149019607843137,0.156862745098039,21.2666666666667,144,0,"",NA
"E15",38,"E",15,0.154520697167756,0.152941176470588,0.168627450980392,22.2509803921569,144,0,"",NA
"E15",39,"E",15,0.162581699346405,0.16078431372549,0.172549019607843,23.4117647058824,144,0,"",NA
"E15",40,"E",15,0.170452069716776,0.168627450980392,0.184313725490196,24.5450980392157,144,0,"",NA
"E15",41,"E",15,0.176443355119826,0.176470588235294,0.188235294117647,25.4078431372549,144,0,"",NA
"E15",42,"E",15,0.182325708061002,0.180392156862745,0.196078431372549,26.2549019607843,144,0,"",NA
"E15",43,"E",15,0.184994553376906,0.184313725490196,0.196078431372549,26.6392156862745,144,0,"",NA
"E15",44,"E",15,0.188398692810458,0.188235294117647,0.203921568627451,27.1294117647059,144,0,"",NA
"E15",45,"E",15,0.192619825708061,0.192156862745098,0.207843137254902,27.7372549019608,144,0,"",NA
"E15",46,"E",15,0.197984749455338,0.198039215686275,0.207843137254902,28.5098039215686,144,0,"",NA
"E15",47,"E",15,0.204384531590414,0.203921568627451,0.223529411764706,29.4313725490196,144,0,"",NA
